thread_id,customer_text,predicted_intent,intent_confidence,drafted_reply,grounded_on_threads,reply_method,routing_action,routing_reason
338650,"@16384 @16385 @AppleSupport - Made a purchase and have not received my goods, any way any of you can assist?",other,0.336,@757388 We certainly understand not wanting this to keep popping up. Let us know in DM when this is popping up. Have you recently restored your device? https://t.co/GDrqU22YpT,2695097;1763076;2345956,retrieval_template,escalate,Intent classifier confidence 0.34 below threshold 0.5 -- unclear what the customer needs.
1013807,@AppleSupport do you have a warranty on replacements? This replacement is about 3 months old and already broken. Original purchased 08/2016 https://t.co/JItDcYIGrb,other,0.561,"@641021 We're happy to provide the options available to you. Since our service options vary by country/region, go ahead and let us know where you're located. https://t.co/GDrqU22YpT",2887421;1967261;1571728,retrieval_template,auto_handle,Intent confidence 0.56 is high and a similar past resolution was found -- safe to auto-handle.
1998557,@AppleSupport help us please I have forgotten a Bluetooth device by mistake can this be undone ??? ??,other,0.646,@795731 We'll do our best to help. What's going on today?,2864887;1420234;1516157,retrieval_template,auto_handle,Intent confidence 0.65 is high and a similar past resolution was found -- safe to auto-handle.
1674713,@AppleSupport @115858 WTF IS THIS???? https://t.co/aOcisxVHv2,general_update_complaint,0.55,"@533072 We'd be happy to take a look at this with you!  To begin, feel free to DM us and we'll go from there: https://t.co/GDrqU22YpT",1773683;1880696;2002447,retrieval_template,auto_handle,Intent confidence 0.55 is high and a similar past resolution was found -- safe to auto-handle.
1582040,@AppleSupport why does this keep happening? I’ve updated to most current software. #glitch https://t.co/PtrPYeylTQ,other,0.883,@796895 Thanks for reaching out. We're happy to look into this with you. If you restart the device does the issue continue?,2869680;2004738;2056933,retrieval_template,auto_handle,Intent confidence 0.88 is high and a similar past resolution was found -- safe to auto-handle.
2048388,@AppleSupport @115858 Why offer updates 4 old models if they aren't optimized? iOS11 wrecked my iPhone's battery life &amp; performance.,battery_drain,0.622,@499690 We're here to help. How recently did you update your iPhone to iOS 11.0.3? Let us know in DM and we'll get started. https://t.co/GDrqU22YpT,1857914;1077288;1061440,retrieval_template,auto_handle,Intent confidence 0.62 is high and a similar past resolution was found -- safe to auto-handle.
1789021,"@AppleSupport My iPhone 6 loses all of the battery in 15 minutes after the newest update. Also, it shuts down at about 50% saying its dead.",other,0.706,@149285 You're in the right place. We know you need your iPhone ready from 100% to 1% of the battery. Please send us a DM with the iOS version from Settings &gt; General &gt; About and we can get started there. https://t.co/GDrqU22YpT,146627;109037;307950,retrieval_template,auto_handle,Intent confidence 0.71 is high and a similar past resolution was found -- safe to auto-handle.
2445219,I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? fix this shit @AppleSupport I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I? I?,other,0.589,@707798 We'd like to help. Please let us know a bit more about what's going on in DM and we'll continue from there. https://t.co/GDrqU22YpT,2476056;1725683;2277322,retrieval_template,auto_handle,Intent confidence 0.59 is high and a similar past resolution was found -- safe to auto-handle.
860809,"@AppleSupport Also, when I am on facetime and take a live picture they still dont show up.",other,0.822,@158590 Let's continue together in DM here: https://t.co/GDrqU2kzhr,515925;233952;2419509,retrieval_template,auto_handle,Intent confidence 0.82 is high and a similar past resolution was found -- safe to auto-handle.
1822372,@AppleSupport What in the world??!! My battery is draining within 2 hours since these updates??phone keeps freezing...I have NEVER experienced this??????????,other,0.427,@284743 Hi! We know that you rely on your iPhone's battery and need things to be available when you're ready to use them. Let's get to the bottom of the issue. What type of device are we working with? Please DM us. https://t.co/GDrqU22YpT,689406;2025148;1864181,retrieval_template,escalate,Intent classifier confidence 0.43 below threshold 0.5 -- unclear what the customer needs.
2379319,@AppleSupport Hi. I really need you help. 2 weeks ago you did a review on the appstore about various apps for photos. Where can I find that info again?,other,0.81,@156508 We can get you pointed in the right direction here. Let's pair up in DM to get a closer look at what's happening. https://t.co/GDrqU22YpT,1762909;556075;1924687,retrieval_template,auto_handle,Intent confidence 0.81 is high and a similar past resolution was found -- safe to auto-handle.
1765860,@AppleSupport @115858 that only worked for like a day,other,0.868,@684194 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,2371151;1817806;1644599,retrieval_template,auto_handle,Intent confidence 0.87 is high and a similar past resolution was found -- safe to auto-handle.
2734361,@AppleSupport New question ?? Does Airdrop work on LTE or only on WiFi? Thanks ????,connectivity_issue,0.555,@476022 Take a look at this article for specifics on messaging with the Apple Watch Series 3 (GPS + Cellular): https://t.co/c02ifgvYsE,1535039;2490810;1141079,retrieval_template,auto_handle,Intent confidence 0.55 is high and a similar past resolution was found -- safe to auto-handle.
2054370,@AppleSupport This is all that happens when I open my apps after 10.0.2 https://t.co/9sR6NvZ4OM,other,0.842,"@663694 Thanks for reaching out, we would love to help. If you click on the 'Sender' field, what is the actual email address?",2283808;2908048;1503994,retrieval_template,auto_handle,Intent confidence 0.84 is high and a similar past resolution was found -- safe to auto-handle.
1449372,Did apple take away “apps” &amp; a way to update apps in the updated iTunes? @AppleSupport @115858,other,0.502,@197476 Thanks for reaching out. Your question will be best answered by our iTunes team. You can reach them here: https://t.co/SDIe7UiyJN,341033;2371151;40447,retrieval_template,auto_handle,Intent confidence 0.50 is high and a similar past resolution was found -- safe to auto-handle.
2780649,@AppleSupport MY PLUS IS ON 11.2 BETA BUT MY X IS ON 11.1.2 SO I CANT RESTORE FROM ANY BACKUP SEND HELP,other,0.596,@813402 We'd love to help look into this and get you back in action. Can you send us a DM with some additional details? https://t.co/GDrqU22YpT,2944507;560418;2419509,retrieval_template,auto_handle,Intent confidence 0.60 is high and a similar past resolution was found -- safe to auto-handle.
2518310,hey @AppleSupport can u fix the question mark boxes pls I? I? I? I?,other,0.798,"@252009 Thanks for reaching out. If you're on iOS 11.1, try this: https://t.co/xU1AGHStV6 Questions? Feel free to send us a DM. https://t.co/GDrqU22YpT",2004964;2298315;720581,retrieval_template,auto_handle,Intent confidence 0.80 is high and a similar past resolution was found -- safe to auto-handle.
1214533,"@AppleSupport My display freezes, then I have to hit power button &amp; home button to reset. Music player freezes sometimes too",performance_or_crash,0.516,"@448669 How often does this seem to be happening? Also, which iOS version are you running? Let us know in a DM. https://t.co/GDrqU22YpT",2367772;1204150;1053633,retrieval_template,auto_handle,Intent confidence 0.52 is high and a similar past resolution was found -- safe to auto-handle.
325910,@AppleSupport I have bought a Apple care plan and after paying I came to know the warranty has been expired phone was bought on 7 oct 2016.can someone hlp,other,0.794,@583361 We will be happy help you maximize your battery life. Can you DM us how long your battery is lasting on a full charge? https://t.co/GDrqU22YpT,1969041;1947683;693984,retrieval_template,auto_handle,Intent confidence 0.79 is high and a similar past resolution was found -- safe to auto-handle.
1162008,@AppleSupport fix this I? I? I? I? I?,other,0.847,@624763 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2120224;849959;1901031,retrieval_template,auto_handle,Intent confidence 0.85 is high and a similar past resolution was found -- safe to auto-handle.
2077711,Need help setting up an @AppleSupport icloud  email on an android phone. Suggestions.,other,0.712,"@400320 We want to help. DM us, and let us know what's going on. We'll do whatever we can to help. https://t.co/GDrqU22YpT",1192987;1769086;1766767,retrieval_template,auto_handle,Intent confidence 0.71 is high and a similar past resolution was found -- safe to auto-handle.
235856,@AppleSupport There is still a slight lag,other,0.853,@518714 Thanks for reaching out. Let's take a look into this in DM. Use this link to get started: https://t.co/GDrqU22YpT,1712540;2704250;2042325,retrieval_template,auto_handle,Intent confidence 0.85 is high and a similar past resolution was found -- safe to auto-handle.
1474683,"@AppleSupport should consider adding a vpn button to the control center, it’s sometimes a hassle to go to the app and turn it on there",other,0.804,"@152100 When Do Not Disturb is on, you will see a “Crescent Moon” icon in the status bar of your device. This article has additional information you can review as well: https://t.co/Gpgz6FvL5U us if you have any addtoinal questions. https://t.co/GDrqU22YpT",2709992;2550318;721787,retrieval_template,auto_handle,Intent confidence 0.80 is high and a similar past resolution was found -- safe to auto-handle.
1638725,"@AppleSupport got iphone x a day ago but several times using the internet it just hangs until i switch wifi off &amp; on, any obvious cause?",other,0.472,@739950 Thanks for that info. We'll need to get some info so we can dig in deeper on this. Please join us in DM where we're able to do that.,2618342;2405924;2355847,retrieval_template,escalate,Intent classifier confidence 0.47 below threshold 0.5 -- unclear what the customer needs.
1526104,@AppleSupport my new iPhone x keeps asking me to enter the password for an old Apple ID of my sisters. How do I stop this?,how_to_question,0.343,@185188 Thank you for bringing this to our attention. You can find the steps to share that with us here: https://t.co/LNMCdqt6fD,290524;2427323;1470018,retrieval_template,escalate,Intent classifier confidence 0.34 below threshold 0.5 -- unclear what the customer needs.
1557829,@AppleSupport @115858 you see those lil things in the top left?? That’s my successful WiFi along with my LTE for backup. Wtf is this bullshit? https://t.co/qYLseOrEuZ,general_update_complaint,0.387,"@533072 We'd be happy to take a look at this with you!  To begin, feel free to DM us and we'll go from there: https://t.co/GDrqU22YpT",1773683;1880696;311631,retrieval_template,escalate,Intent classifier confidence 0.39 below threshold 0.5 -- unclear what the customer needs.
2298646,@AppleSupport I am using iPhone 7 on OS Version 11.1.1 . All phone functions are affected. It has gone slow and always hangs!,other,0.823,@314584 Thank you. Did you experience any of these issues before updating to iOS 11?,817011;2907943;84202,retrieval_template,auto_handle,Intent confidence 0.82 is high and a similar past resolution was found -- safe to auto-handle.
2246737,".@AppleSupport Current iOS makes phone drop from 80% battery life down to 3% in front of my eyes, and back up to 45% instantly upon plugging in charger. The next update gonna do anything about this or should I just assume this is the norm now?",other,0.425,"@372612 Hey, what's going on with your iPhone. Let us know in DM and we'll work with you to get it sorted. https://t.co/GDrqU22YpT",1070527;1332361;1578490,retrieval_template,escalate,Intent classifier confidence 0.43 below threshold 0.5 -- unclear what the customer needs.
850404,"@AppleSupport please help, screen is frozen, not able to force restart the phone, everything is unresponsive after the update !",other,0.761,@415462 We’ve received your DM and will continue there shortly. Thank you for your patience.,1261238;2509320;1851792,retrieval_template,auto_handle,Intent confidence 0.76 is high and a similar past resolution was found -- safe to auto-handle.
855638,@AppleSupport ios 11 update killed my battery and battery life was the main reason for changing to apple. Really disappointed in apple??,battery_drain,0.74,"@391091 Alright. What happens when you tap on 'Dismiss'? DM us with details, and we'll take a closer look to see how we can help. https://t.co/GDrqU22YpT",1151934;2307531;2686058,retrieval_template,auto_handle,Intent confidence 0.74 is high and a similar past resolution was found -- safe to auto-handle.
1416051,"@AppleSupport Hi, reported an issue with an app I purchased two days ago &amp; still haven’t heard back. Was told feedback wld be in 48hrs. Thx",other,0.659,"@501907 So we can discuss this further, please send us a DM. https://t.co/GDrqU22YpT",1656609;2557364;453995,retrieval_template,auto_handle,Intent confidence 0.66 is high and a similar past resolution was found -- safe to auto-handle.
1273582,@applesupport please bring back the old podcast interface. The new one not cool. Where can I submit a review of it?,other,0.77,"@571716 We don't support reverting your iOS, but we can look into the trouble you're having. DM us and we'll get started. https://t.co/GDrqU22YpT",1920441;1002790;188560,retrieval_template,auto_handle,Intent confidence 0.77 is high and a similar past resolution was found -- safe to auto-handle.
1026249,@AppleSupport what is error -16835 and how do I resolve it? It’s not letting me finish watching a movie I rented. https://t.co/sec1OJKd4q,other,0.553,@603712 We want to be sure you can install the latest iOS updates. DM us with more details on the issue and the device you have. https://t.co/GDrqU22YpT,2041736;445965;1864925,retrieval_template,auto_handle,Intent confidence 0.55 is high and a similar past resolution was found -- safe to auto-handle.
480565,@AppleSupport ok.  So irritated.  Badge stopped tracking calories with the November challenge in the very last day.  Its been 400 calories short of the goal since before I went to the gym burned 800 calories. I’ve collected every other bade: move goal. Perfect month. 200% plus. https://t.co/NCkgVsTIAw,other,0.81,@416686 We'd be happy to look into this with you.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,1267172;1835412;2210753,retrieval_template,auto_handle,Intent confidence 0.81 is high and a similar past resolution was found -- safe to auto-handle.
2771787,What’s going on @AppleSupport I’ve been on my phone a whole 21 minutes and lost 12% battery and 3% in one go!! ???? https://t.co/IbUZaT3B7L,other,0.751,"@545468 Trouble with Touch ID? Let's start here: https://t.co/xqiXha6yeB DM us any other questions you have, and we'll help. https://t.co/GDrqU22YpT",1815816;2039479;2410144,retrieval_template,auto_handle,Intent confidence 0.75 is high and a similar past resolution was found -- safe to auto-handle.
2000040,@AppleSupport why does my phone keep make question mark boxes and the pound sign when I? text? https://t.co/JDJWS5OvKS,other,0.805,"@252009 Thanks for reaching out. If you're on iOS 11.1, try this: https://t.co/xU1AGHStV6 Questions? Feel free to send us a DM. https://t.co/GDrqU22YpT",2004964;1807860;520297,retrieval_template,auto_handle,Intent confidence 0.81 is high and a similar past resolution was found -- safe to auto-handle.
52185,@AppleSupport Already did. And it keeps asking for Touch ID https://t.co/coD9GekRkc,other,0.766,@531108 Let's take a closer look. Can you DM us? https://t.co/GDrqU22YpT,1766004;2127254;2652677,retrieval_template,auto_handle,Intent confidence 0.77 is high and a similar past resolution was found -- safe to auto-handle.
2346076,"@AppleSupport I got a new iPhone today and am trying to turn it on with my iCloud back up however it's saying ""No iCloud backups are compatible with the version of iOS 10.3.3 on this iPhone"" so how can I use my most recent backup from my old phone on my new phone?",sync_or_cloud_issue,0.695,@299962 Thanks for this information. Are there any apps that haven't completed downloading or didn't download from your old iPhone?,2356588;2420133;2031826,retrieval_template,auto_handle,Intent confidence 0.69 is high and a similar past resolution was found -- safe to auto-handle.
1080413,@AppleSupport worse customer service experience in a “macstore” La Isla Puerto Vallarta. Get your act together!,other,0.903,@398845 This is not the experience we want you to have. We’d like to look into this with you. DM us the details.,1398119;1404099;2525481,retrieval_template,auto_handle,Intent confidence 0.90 is high and a similar past resolution was found -- safe to auto-handle.
1638771,"@AppleSupport Had macbook pro from new 1 1/2 years old.  Keyboard and mouse completely unresponsive after sleep. My work computer, so pissed",other,0.66,@574105 We understand needing to get your Mac to charge so you can continue to use it. Let’s continue this in DM. https://t.co/GDrqU22YpT,1929206;2285820;613078,retrieval_template,auto_handle,Intent confidence 0.66 is high and a similar past resolution was found -- safe to auto-handle.
2400376,@AppleSupport high key crying because I can’t access any of my photos from the last 10 months ????,other,0.68,"@371415 We've received your DM, and we'll continue with you there. Be on the lookout for a response.",1064881;620151;633776,retrieval_template,auto_handle,Intent confidence 0.68 is high and a similar past resolution was found -- safe to auto-handle.
2095595,@AppleSupport the new update is the worst update I ever had on any of my devices it sucks my fone works like shit!! #updatesucks,other,0.576,@267484 This is certainly not the behavior we want you to experience. Could you DM us which iPhone and iOS 11 version you're using?,993303;1403836;1743609,retrieval_template,auto_handle,Intent confidence 0.58 is high and a similar past resolution was found -- safe to auto-handle.
1464378,@AppleSupport *i* am tired of seeing this i? . my phone barley works half the time and i? shouldn’t have to reset my phone 10 times a day,other,0.593,@533335 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1774703;50825;1743597,retrieval_template,auto_handle,Intent confidence 0.59 is high and a similar past resolution was found -- safe to auto-handle.
1953069,@AppleSupport I’ve been on Wi-Fi and Vodaphone,other,0.652,@165462 Let us know what steps you're taking to disable Wi-Fi. We'll be happy to look into this with you.,697524;994520;688384,retrieval_template,auto_handle,Intent confidence 0.65 is high and a similar past resolution was found -- safe to auto-handle.
1458714,"@applesupport this is my favorite (and apparently the only) feature of the $1000 brick you sold me. Awesome work, guys! https://t.co/mhe4moAaW4",other,0.821,"@663694 Thanks for reaching out, we would love to help. If you click on the 'Sender' field, what is the actual email address?",2283808;1503994;1152828,retrieval_template,auto_handle,Intent confidence 0.82 is high and a similar past resolution was found -- safe to auto-handle.
1504012,@AppleSupport Unfortunately when I type my alias I get a notification saying that it can’t handle @798.com address. It accepts main @798.com address though,other,0.723,@347221 We'd be happy to look into this with you. Can you provide us the email address of the sender in DM?,957639;734344;1766743,retrieval_template,auto_handle,Intent confidence 0.72 is high and a similar past resolution was found -- safe to auto-handle.
1633542,My phone been fucked up every since this update ???? #ios11update #ios1103 @AppleSupport,other,0.522,@464190 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,1482353;1070527;1679958,retrieval_template,auto_handle,Intent confidence 0.52 is high and a similar past resolution was found -- safe to auto-handle.
2616624,@AppleSupport Radio stations i used to open with Safari like https://t.co/cPbJhKf8uM don't work anymore on iOS 11 - 11.2 on iPhone X ... internet radio apps work fine,other,0.848,"@250646 We'll be happy to look into this for you. What iOS version is currently installed on your device? To find out, navigate to: Settings &gt; General &gt; About. Also, when did this behavior first begin?",559027;1761267;1176978,retrieval_template,auto_handle,Intent confidence 0.85 is high and a similar past resolution was found -- safe to auto-handle.
631865,"When are you going to fix connectivity problems on ios 11. Ever since i updated, my wifi, bluetooth, and cellular network is a nightmare, it’s unstable and frustrating. Please address this issue and fix it!!! @AppleSupport",connectivity_issue,0.407,@505505 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1656597;512523;1680819,retrieval_template,escalate,Intent classifier confidence 0.41 below threshold 0.5 -- unclear what the customer needs.
2294141,@AppleSupport I’ve been having issues with my notifications. I am not receiving iMessage notifications specially. I’m on iOS 11.2. https://t.co/OmA2CacxXL,other,0.526,@180472 We know how easy notifications make it to alert you to a new message. Have you tried turning notifications on and off? Do other notifications show on your lock screen? Please DM us here: https://t.co/GDrqU22YpT,2343712;1990466;2710526,retrieval_template,auto_handle,Intent confidence 0.53 is high and a similar past resolution was found -- safe to auto-handle.
188321,"@AppleSupport Yes, I can try that tonight when I get home. Is there a known issue with upgrading over the air?",other,0.813,@286374 Thanks. Meet us in DM with the device you are using and we will continue from there. https://t.co/GDrqU22YpT,697302;2752717;845876,retrieval_template,auto_handle,Intent confidence 0.81 is high and a similar past resolution was found -- safe to auto-handle.
816438,@AppleSupport Thank you for your response but I have already done all that before my tweet,positive_or_resolved,0.568,@512040 You are welcome! Please reach out anytime.,1772155;1583812;2688593,retrieval_template,auto_handle,Intent confidence 0.57 is high and a similar past resolution was found -- safe to auto-handle.
2116233,"@AppleSupport Please fix this “I” problem,   I? am the one I? wanted I? to be I? I? I? I? I?SEE LIKE WTF IS THIS SHIT?!?!",general_update_complaint,0.479,@477293 We have some steps that might help! Check out this article: https://t.co/xU1AGHStV6 https://t.co/GDrqU22YpT,1539944;2004972;1725683,retrieval_template,escalate,Intent classifier confidence 0.48 below threshold 0.5 -- unclear what the customer needs.
814911,"@AppleSupport No, MacOS. It keeps sending me back to the login screen",other,0.763,"@525930 We'd love to help. Have you tried another internet browser to see if the issue persists? Also, which device are you using?",1743675;2440911;1395065,retrieval_template,auto_handle,Intent confidence 0.76 is high and a similar past resolution was found -- safe to auto-handle.
1789509,@applesupport does 11.03 fix my battery life which is now 45 min since update 11?,other,0.452,"@390929 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",1151308;2906748;1341715,retrieval_template,escalate,Intent classifier confidence 0.45 below threshold 0.5 -- unclear what the customer needs.
2379331,"Hey @AppleSupport, why does my iPhone keep dropping my home WiFi in favor of others near me when my home signal is the strongest?",other,0.766,@240055 We want to help! DM us and let us know more about the issues you are having. We can look more into this issue from there. https://t.co/GDrqU2kzhr,521316;2774453;1851471,retrieval_template,auto_handle,Intent confidence 0.77 is high and a similar past resolution was found -- safe to auto-handle.
2517086,"@AppleSupport I cannot make/receive phone calls on my iPhone. Disconnects immediately w/message “Call Ended.” At 87, My phone is my lifeline",other,0.605,@478110 We'd be happy to assist with your iPhone today. Send us a DM to get started. https://t.co/GDrqU22YpT,1543318;1908656;1889601,retrieval_template,auto_handle,Intent confidence 0.61 is high and a similar past resolution was found -- safe to auto-handle.
1288252,@115858 @AppleSupport @115948 bring back music rating already. Siri sucks. I am in the music app. Siri is just fucking stupid. https://t.co/UWyHc7eKAM,other,0.772,@199698 Thanks for that information. DM the country or region where you are currently located so we can help. https://t.co/GDrqU22YpT,351930;460862;2572105,retrieval_template,auto_handle,Intent confidence 0.77 is high and a similar past resolution was found -- safe to auto-handle.
2889490,@115858 @AppleSupport MY HEADPHONE JACK AKA ALSO THE CHARGING PORT ISNT WORKING AND IDK WHAT TO DO. ALSO PLEASE BRING BACK THE OLD HEADPHONE JACK SO I CAN CHARGE MY PHONE AND USE HEADPHONES AT THE SAME TIME PLEASE THANK YOU,other,0.62,@536856 Hey there. Let's talk. Shoot us a DM and share what you're experiencing and which type of accessory you own. https://t.co/GDrqU22YpT,2057219;255563;1002790,retrieval_template,auto_handle,Intent confidence 0.62 is high and a similar past resolution was found -- safe to auto-handle.
2007948,@AppleSupport  after the latest update my iphone 5s is facing so many issues.. especially with carrier!! Always no service !!,other,0.801,@491107 We're sorry you're having issues with your iPhone! Send us a DM and we'll work with you from there. https://t.co/GDrqU22YpT,1599217;123710;1079186,retrieval_template,auto_handle,Intent confidence 0.80 is high and a similar past resolution was found -- safe to auto-handle.
505181,@AppleSupport this is a phishing scam right? https://t.co/dfuh0zj9vN,other,0.8,"@469084 Correct. That message is not coming from us. Since it's an SMS message, please reach out to your carrier for help.",1503994;1147039;2283808,retrieval_template,escalate,Message contains sensitive keyword 'scam' -- routed to human.
1774752,@AppleSupport Thank you!! I hope it works! ????,positive_or_resolved,0.657,@497988 You're welcome. Feel free to reach out to us if you have anymore questions.,1626272;2207556;1571689,retrieval_template,auto_handle,Intent confidence 0.66 is high and a similar past resolution was found -- safe to auto-handle.
2524590,"Thanks @115858 @AppleSupport for the bad iPhone 8+ wouldn't backup to computer, then completely bricked while updating and need to completely restore....but wait, failed to restore....awesome..",other,0.575,"@160221 Was the backup still restoring when you went to bed last night? If it was, this may be why it used up more of your battery than usual.",2449495;2343837;1998731,retrieval_template,auto_handle,Intent confidence 0.57 is high and a similar past resolution was found -- safe to auto-handle.
656677,@AppleSupport,other,0.979,@754990 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,2684345;1153417;1368871,retrieval_template,auto_handle,Intent confidence 0.98 is high and a similar past resolution was found -- safe to auto-handle.
